Datum,Warengruppe,Umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Zeit_Im_Monat,Jahrzeiten,Ferien,FerienCAU,Feiertag,Umsatz_letzte_1_Tage,Umsatz_letzte_3_Tage,Umsatz_letzte_7_Tage,Umsatz_letzte_30_Tage,Feiertag_in_weniger_als_1_Tagen,Feiertag_in_weniger_als_2_Tagen,Feiertag_in_weniger_als_3_Tagen,Feiertag_vor_weniger_als_1_Tagen,Feiertag_vor_weniger_als_2_Tagen,Feiertag_vor_weniger_als_3_Tagen,Wochentag
2013-07-01,Brot,148.828353112183,Keine Kieler Woche,6,17.8375,15,20,Monatsanfang,Sommer,1,0,Kein Feiertag,NA,NA,NA,NA,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Montag
2013-07-02,Brot,159.79375714468,Keine Kieler Woche,3,17.3125,10,NA,Monatsanfang,Sommer,1,0,Kein Feiertag,253.849821463996,253.849821463996,253.849821463996,253.849821463996,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Dienstag
2013-07-03,Brot,111.885593514353,Keine Kieler Woche,7,21.075,6,61,Monatsanfang,Sommer,1,0,Kein Feiertag,286.001679465347,269.925750464671,269.925750464671,269.925750464671,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Mittwoch
2013-07-04,Brot,168.864940979931,Keine Kieler Woche,7,18.85,7,20,Monatsanfang,Sommer,1,0,Kein Feiertag,224.854978824029,254.902159917791,254.902159917791,254.902159917791,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Donnerstag
2013-07-05,Brot,171.280754117955,Keine Kieler Woche,5,19.975,12,NA,Monatsanfang,Sommer,1,0,Kein Feiertag,236.861913403576,249.23952389765,250.392098289237,250.392098289237,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Freitag
2013-07-06,Brot,174.552359998476,Keine Kieler Woche,0,18.9625,8,NA,Monatsanfang,Sommer,1,0,Kein Feiertag,257.604612042404,239.773834756669,251.83460103987,251.83460103987,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Samstag
2013-07-07,Brot,92.6377553788373,Keine Kieler Woche,0,21.375,9,NA,Monatsanfang,Sommer,1,0,Kein Feiertag,308.105979511633,267.524168319204,261.213164118497,261.213164118497,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Sonntag
2013-07-08,Brot,135.500244042392,Keine Kieler Woche,0,22.725,10,5,Monatsmitte,Sommer,1,0,Kein Feiertag,306.474585482631,290.728392345556,267.679081456231,267.679081456231,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Montag
2013-07-09,Brot,136.048382778344,Keine Kieler Woche,0,23.275,8,NA,Monatsmitte,Sommer,1,0,Kein Feiertag,240.784338924646,285.121634639637,265.812583950609,264.317238639783,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Dienstag
2013-07-10,Brot,135.132314289581,Keine Kieler Woche,2,19.6875,13,5,Monatsmitte,Sommer,1,0,Kein Feiertag,277.022465869369,274.760463425549,264.529839151184,265.728930554181,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Mittwoch
